id_individual,employer_id,contribution_year,contribution,num_contribution,mm_contribution,compensation,cont_type,work_area,activity_code
809003,2211,2001,586,2,000010000010,4509,1,2,36
809003,17051,2001,921,5,000001101101,7083,1,2,36
809003,26723,2001,467,2,000010000001,3591,1,2,36
809003,28677,2001,389,1,000000100000,2995,1,2,36
809101,9419,2001,4574,12,111111111111,35185,1,1,36
809101,10376,2001,4980,12,111111111111,38308,1,3,36
809309,,2001,87,2,,694,2,1,-9
809338,,2001,988,1,,7600,2,4,-9
809404,2073,2001,620,1,000000000001,6200,1,3,1
809499,4308,2001,4159,1,000000000001,41590,1,2,1
809602,,2001,850,5,,6538,2,2,-9
809815,25914,2001,568,10,011110111111,5681,1,3,1
809940,,2001,3951,3,,30391,2,5,-9
810041,18179,2001,967,12,111111111111,7437,1,3,36
810593,,2001,1276,2,,9813,2,1,-9
810631,,2001,103,2,,826,2,1,-9
810682,631,2001,1007,2,000000000011,7747,1,2,1
810731,13663,2001,413,3,111000000000,4132,1,2,34
810955,24146,2001,597,8,011101101101,5965,1,4,13
810959,15069,2001,336,1,000000100000,2585,1,1,13
810959,26143,2001,269,2,000000000011,2066,1,3,14
811274,6559,2001,7644,4,001001001001,76441,1,1,13
811341,3974,2001,1982,8,000111111101,15243,1,3,1
811829,13286,2001,8,1,000010000000,83,1,2,4
811856,13473,2001,351,10,011111011111,2701,1,1,1
811884,18107,2001,863,10,001111111111,6638,1,2,1
811907,644,2001,1033,1,000000000010,10329,1,1,1
811915,23909,2001,1158,12,111111111111,8911,1,4,36
812067,21729,2001,6594,12,111111111111,50724,1,1,1
812132,8114,2001,1007,3,101010000000,7747,1,3,36
812203,11967,2001,625,1,000000000100,4811,1,1,5
812353,25983,2001,117,2,000000000011,898,1,3,36
812362,29398,2001,10,1,000000100000,75,1,3,36
812447,,2001,462,3,,3575,2,4,-9
812490,28034,2001,433,6,001111100001,3329,1,3,36
812592,642,2001,302,1,000000000001,2324,1,2,4
812592,11381,2001,4188,1,000000001000,41885,1,4,1
812609,3791,2001,9668,11,011111111111,74370,1,1,1
812609,25067,2001,270,1,000000000001,2074,1,1,17
812613,13908,2001,336,1,000000000001,2582,1,3,1
812670,11068,2001,1088,6,010000111110,8367,1,1,36
812863,3798,2001,86,2,000110000000,663,1,3,36
812944,28416,2001,1549,1,000000000100,15494,1,2,1
813062,26884,2001,986,9,000111111111,7598,1,1,36
813121,5342,2001,78,1,001000000000,780,1,3,36
813121,24328,2001,77,1,001000000000,770,1,3,36
813143,11984,2001,8728,10,010111111111,67139,1,2,1
813227,7986,2001,13,1,000000000100,99,1,1,36
813318,27130,2001,7747,1,000000000001,77470,1,2,1
813357,30694,2001,940,3,000000000111,7234,1,2,36
813470,19073,2001,1678,1,000000000001,12911,1,1,1
813470,,2001,9991,5,,79925,2,1,-9
813548,9046,2001,796,5,000000011111,6122,1,1,1
813608,,2001,6240,7,,47999,2,2,-9
813689,18846,2001,857,4,000000001111,6591,1,1,1
813756,29034,2001,622,3,001110000000,4783,1,4,13
813865,17686,2001,735,5,000000001111,5657,1,1,36
813982,2351,2001,213,9,011111011011,1641,1,1,26
813982,6674,2001,450,10,011111101111,3460,1,1,14
813995,21617,2001,32,1,000000001000,246,1,1,36
814191,12555,2001,1811,4,000100100101,13931,1,2,1
814314,15040,2001,7361,1,000000000001,56623,1,4,1
