id_individual,contribution,cont_type,contribution_year,work_area,compensation
49141,735.94970703,1,1997,1,7359.5
49288,2943.7988281,1,1997,2,29438
49376,872.23974609,1,1997,4,8722.3984375
49547,769,2,1997,1,7690
49549,55.829986572,1,1997,3,558.29980469
49681,3282.5996094,1,1997,1,32826
49734,1962.5390625,1,1997,1,19625.390625
50215,80.949951172,1,1997,3,809.5
50229,927.11962891,1,1997,1,9271.1953125
50401,39.739990234,1,1997,2,397.39990234
50516,1449.8691406,1,1997,2,14498.695313
50771,166.34997559,1,1997,1,1663.5
50993,3136.0683594,1,1997,2,31360.6875
51467,244.86999512,1,1997,3,2448.6992188
51644,1214.3193359,1,1997,2,12143.195313
51961,2328.0292969,1,1997,1,23280.296875
52021,5133.578125,1,1997,1,51335.78125
52439,557.68994141,1,1997,2,5576.8984375
52820,18.809997559,1,1997,1,188.09997559
52838,219.79992676,1,1997,2,2198
53042,588.75976563,1,1997,2,5887.5976563
53266,15.779998779,1,1997,1,157.79992676
53553,467.38989258,1,1997,1,4673.8984375
54184,2453.1699219,1,1997,2,24531.6875
54433,541.25,2,1997,5,5412.5
54559,1177.5195313,1,1997,3,11775.195313
54717,490.62988281,1,1997,3,4906.296875
55620,10.599998474,1,1997,1,106
55633,1992.5,1,1997,2,19925
55803,995.72998047,1,1997,2,9957.296875
55810,98.129943848,1,1997,2,981.29980469
56074,688.89990234,1,1997,1,6889
56335,82.58996582,1,1997,1,825.89990234
56366,1214.3193359,1,1997,2,12143.195313
56474,588.75976563,1,1997,2,5887.5976563
56495,7083.2070313,1,1997,1,70832.0625
56643,347.31982422,1,1997,3,3473.1992188
56718,981.26953125,1,1997,2,9812.6953125
56747,3971.6582031,1,1997,1,39716.59375
57095,1001.0996094,2,1997,3,10011
57098,7083.0976563,1,1997,2,70831
57282,516.45996094,1,1997,3,5164.5976563
57330,127.81994629,1,1997,4,1278.1992188
57909,585.32958984,1,1997,1,5853.296875
57915,36.689971924,1,1997,2,366.89990234
58090,4722.109375,1,1997,2,47221.09375
58167,2197.8398438,1,1997,2,21978.390625
58576,12.359992981,1,1997,2,123.59997559
58611,4240.15625,1,1997,1,42401.59375
58763,49.459991455,1,1997,1,494.59985352
59037,630.58984375,1,1997,3,6305.8984375
59232,2.3299999237,1,1997,2,23.299987793
59302,35.929992676,1,1997,1,359.29980469
59412,245.31994629,1,1997,1,2453.1992188
59997,308.48999023,1,1997,1,3084.8984375
60192,10.619995117,1,1997,1,106.19995117
60574,511.80981445,1,1997,1,5118.0976563
60638,189.37988281,1,1997,3,1893.7998047
60780,2060.6582031,1,1997,2,20606.59375
61165,2943.7988281,1,1997,3,29438
61172,5324.0078125,2,1997,1,53240.09375
61215,2044.3896484,1,1997,2,20443.890625
61387,416.5,1,1997,2,4165
61530,211.61999512,1,1997,3,2116.1992188
61654,678.96972656,1,1997,1,6789.6992188
